Energy__kWh_,Total_Duration_hours,Charging_Time_hours,Station_Name,Address,Zip_Postal_Code,Start_Hour,End_Hour,Day_of_Week,is_weekend,season
6.504,2.050555556,2.045555556,BOULDER / JUNCTION ST1,2280 Junction Pl,80301,17,19,0,0,0
17.527,9.615277777,4.086388889,BOULDER / JUNCTION ST1,2280 Junction Pl,80301,8,6,1,0,0
11.227,2.603055556,2.586111112,BOULDER / ALPINE ST1,1275 Alpine Ave,80304,14,11,2,0,0
49.748,113.4702778,13.07,BOULDER / BASELINE ST1,1745 14th street,80302,9,7,3,0,0
2.956,1.043888888,1.034444444,BOULDER / BASELINE ST1,900 Baseline Rd,80302,14,14,4,0,0
32.72,12.24444444,8.808055555,BOULDER / BASELINE ST1,900 Baseline Rd,80302,9,9,5,1,0
30.612,7.266944445,7.246944444,BOULDER / BASELINE ST1,900 Baseline Rd,80302,9,10,6,1,0
24.46,26.71666667,5.572222222,BOULDER / BASELINE ST1,1745 14th street,80302,10,9,0,0,0
45.802,29.865,11.3925,BOULDER / BASELINE ST1,900 Baseline Rd,80302,11,16,1,0,0
47.038,31.345,9.779999999,BOULDER / BASELINE ST1,1745 14th street,80302,9,13,2,0,0
60.38,35.38805556,12.6375,BOULDER / BASELINE ST1,900 Baseline Rd,80302,8,15,3,0,0
55.01,104.3466667,12.36333333,BOULDER / BASELINE ST1,900 Baseline Rd,80302,11,11,4,0,0
28.524,4.857500001,4.826666667,BOULDER / BASELINE ST1,900 Baseline Rd,80302,6,8,5,1,0
13.798,3.100277778,3.076944444,BOULDER / BASELINE ST1,900 Baseline Rd,80302,10,11,6,1,0
4.099,1.808055556,1.799722222,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80305,9,10,0,0,0
70.312,23.95444444,14.22111111,BOULDER / BASELINE ST1,2280 Junction Pl,80302,8,12,1,0,0
44.852,33.54638889,11.13,BOULDER / BASELINE ST1,900 Baseline Rd,80302,17,11,2,0,0
51.591,42.39444445,12.97333333,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,13,14,3,0,0
34.904,146.7641667,7.224722222,BOULDER / BASELINE ST1,1745 14th street,80302,10,10,4,0,0
30.095,19.44638889,9.426388889,BOULDER / BASELINE ST1,900 Baseline Rd,80302,11,15,5,1,0
31.312,16.13777778,6.776666666,BOULDER / JUNCTION ST1,1360 Gillaspie Dr,80301,14,7,6,1,0
32.883,35.14666666,10.98055556,BOULDER / FACILITIES ST1,1745 14th street,80302,10,16,0,0,0
92.306,31.13694445,19.68638889,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,17,15,1,0,0
127.912,190.1908333,28.24083334,BOULDER / FACILITIES ST1,1745 14th street,80302,10,11,2,0,0
47.482,29.6025,8.987500001,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,10,10,3,0,0
67.479,83.32277777,13.39333333,BOULDER / BASELINE ST1,900 Baseline Rd,80302,7,8,4,0,0
44.806,11.00388889,9.896666667,BOULDER / BASELINE ST1,900 Baseline Rd,80302,10,18,5,1,0
42.615,9.577222222,7.486388889,BOULDER / BASELINE ST1,900 Baseline Rd,80302,7,8,6,1,0
45.185,25.24527778,8.233055556,BOULDER / FACILITIES ST1,1745 14th street,80302,5,13,0,0,0
32.351,82.84277778,8.045833333,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,6,7,1,0,0
45.487,13.17833333,12.36527778,BOULDER / BASELINE ST1,900 Baseline Rd,80302,13,11,2,0,0
104.703,22.21555556,19.86361111,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,11,19,3,0,0
128.53,94.43722222,25.74027778,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,12,13,4,0,0
56.292,20.98805555,13.00194445,BOULDER / BASELINE ST1,1500 Pearl St,80302,11,13,5,1,0
24.391,6.002499999,5.441944445,BOULDER / BASELINE ST1,900 Baseline Rd,80302,9,11,6,1,0
49.065,36.255,12.95444445,BOULDER / FACILITIES ST1,1745 14th street,80302,12,15,0,0,0
54.661,29.54083333,10.22111111,BOULDER / ALPINE ST1,1275 Alpine Ave,80302,12,11,1,0,0
89.728,43.27972222,19.34388889,BOULDER / ALPINE ST1,1275 Alpine Ave,80302,9,11,2,0,0
113.269,190.035,25.40083333,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,16,11,3,0,0
85.261,82.45138888,18.63111111,BOULDER / BASELINE ST1,900 Baseline Rd,80302,16,11,4,0,0
30.805,7.243611112,6.806666667,BOULDER / JUNCTION ST1,1100 Spruce St,80302,11,13,5,1,0
64.555,20.94388889,19.14027778,BOULDER / BASELINE ST1,1500 Pearl St,80302,14,17,6,1,0
115.167,45.84722222,23.62333333,BOULDER / ALPINE ST1,1275 Alpine Ave,80302,7,9,0,0,0
92.738,37.57083334,18.05333333,BOULDER / BASELINE ST1,900 Baseline Rd,80302,12,12,1,0,0
46.618,28.16777778,10.65138889,BOULDER / BASELINE ST1,900 Walnut St,80302,12,12,2,0,0
100.229,45.83361111,18.91611111,BOULDER / ALPINE ST1,1275 Alpine Ave,80302,11,11,3,0,0
87.573,139.2530555,18.26777778,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,13,13,4,0,0
86.85,25.31388889,19.06277778,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,9,12,5,1,0
88.649,64.97444445,22.04694445,BOULDER / BASELINE ST1,1500 Pearl St,80302,11,13,6,1,0
57.752,22.11638889,15.44583333,BOULDER / ATRIUM ST1,1770 13th St,80302,17,17,0,0,0
79.457,38.64444445,17.52194444,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,9,14,1,0,0
82.2,42.14361111,21.02555556,BOULDER / FACILITIES ST1,1500 Pearl St,80302,13,11,2,0,0
130.412,151.5625,30.34944445,BOULDER / FACILITIES ST1,1745 14th street,80302,14,13,3,0,0
119.732,118.1072222,26.41444444,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,12,10,4,0,0
107.963,34.13388889,20.43138889,BOULDER / BASELINE ST1,1100 Spruce St,80302,14,15,5,1,0
139.539,40.135,31.07805556,COMM VITALITY / 1104 SPRUCE1,1500 Pearl St,80302,10,5,6,1,0
59.702,34.5225,14.855,BOULDER / BASELINE ST1,1500 Pearl St,80302,16,20,0,0,0
54.354,82.79722222,12.02444445,BOULDER / BASELINE ST1,1100 Spruce St,80302,12,11,1,0,0
96.746,47.88777778,23.66638889,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,7,13,2,0,0
80.573,71.95944445,17.08888889,BOULDER / FACILITIES ST1,1100 Spruce St,80302,13,21,3,0,1
59.693,76.67638889,12.32861111,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,17,10,4,0,1
118.77,32.32361111,23.50055556,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,17,18,5,1,1
106.203,27.19277777,20.99916667,BOULDER / BASELINE ST1,2280 Junction Pl,80302,8,13,6,1,1
37.125,28.16055556,9.079722222,BOULDER / FACILITIES ST1,1745 14th street,80302,13,13,0,0,1
84.595,49.48444445,20.825,BOULDER / BASELINE ST1,900 Baseline Rd,80302,10,11,1,0,1
75.415,38.95472223,18.95833333,BOULDER / BASELINE ST1,900 Baseline Rd,80302,15,15,2,0,1
101.001,66.32027778,22.52111111,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,8,8,3,0,1
58.271,89.66166667,11.46944445,BOULDER / BASELINE ST1,900 Baseline Rd,80302,9,12,4,0,1
76.535,20.4225,16.125,BOULDER / ATRIUM ST1,900 Walnut St,80302,12,16,5,1,1
47.348,8.606111111,8.511666668,BOULDER / BASELINE ST1,900 Baseline Rd,80302,14,12,6,1,1
44.817,33.54861111,9.473611112,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,13,15,0,0,1
84.037,37.83083333,14.70583334,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,12,13,1,0,1
73.084,62.09888889,19.69388889,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,12,12,2,0,1
114.374,43.75027778,21.68055555,BOULDER / BASELINE ST1,900 Walnut St,80302,6,13,3,0,1
90.393,91.73805555,22.87444444,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,12,13,4,0,1
72.96,23.23888889,18.10944444,BOULDER / REC CENTER ST2,1100 Spruce St,80302,12,15,5,1,1
89.713,28.50333333,19.42555556,BOULDER / ATRIUM ST1,900 Walnut St,80302,10,15,6,1,1
105.595,65.98861111,23.79694445,BOULDER / FACILITIES ST1,1745 14th street,80302,10,14,0,0,1
57.291,48.4475,14.21944445,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,19,19,1,0,1
92.561,43.82611111,22.15194444,BOULDER / FACILITIES ST1,1745 14th street,80302,18,11,2,0,1
114.123,52.32777778,27.96861111,BOULDER / ATRIUM ST1,1360 Gillaspie Dr,80302,18,11,3,0,1
159.635,174.6297222,34.83805556,BOULDER / BASELINE ST1,900 Walnut St,80302,18,11,4,0,1
96.665,25.43055556,17.90333333,BOULDER / BASELINE ST1,900 Baseline Rd,80302,12,16,5,1,1
113.27,21.87777778,21.32444444,BOULDER / ATRIUM ST1,1360 Gillaspie Dr,80302,11,14,6,1,1
76.658,35.32333333,15.29583333,BOULDER / FACILITIES ST1,1100 Spruce St,80302,13,15,0,0,1
35.686,50.01027778,9.577222224,BOULDER / FACILITIES ST1,1100 Spruce St,80302,12,9,1,0,1
87.76,23.71083333,19.02527778,BOULDER / REC CENTER ST2,1100 Spruce St,80302,10,7,2,0,1
53.177,78.22361112,12.18666667,BOULDER / FACILITIES ST1,1745 14th street,80302,13,11,3,0,1
87.954,40.42972222,19.23611111,BOULDER / BASELINE ST1,900 Baseline Rd,80302,18,18,4,0,1
80.165,20.27194445,16.42111111,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,10,16,5,1,1
41.9,9.779166666,9.431666666,BOULDER / JUNCTION ST1,900 Walnut St,80302,9,13,6,1,1
34.906,52.91194444,9.252222221,BOULDER / FACILITIES ST1,1745 14th street,80302,13,11,0,0,1
75.678,62.98,13.68333333,BOULDER / JUNCTION ST1,1100 Spruce St,80302,11,20,1,0,1
114.364,43.32777778,25.70222222,BOULDER / BASELINE ST1,2052 Junction Pl,80302,16,16,2,0,1
184.743,138.2602778,36.51944445,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,7,13,3,0,1
142.745,41.0725,31.79111111,BOULDER / JUNCTION ST1,1500 Pearl St,80302,12,14,4,0,1
139.987,36.82638889,26.61027778,COMM VITALITY / BOULDER JCTN,2052 Junction Pl,80302,12,14,5,1,1
63.331,14.86138889,13.89472222,COMM VITALITY / 1500PEARL2,1500 Pearl St,80302,13,14,6,1,1
83.379,42.20527778,17.44916667,BOULDER / JUNCTION ST1,2280 Junction Pl,80302,8,8,0,0,1
137.389,60.36361111,27.09583333,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,17,18,1,0,1
86.831,43.82888888,19.56027778,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,9,10,2,0,1
161.519,71.71444445,31.94166667,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,9,10,3,0,1
108.024,103.7158333,24.54083333,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,10,17,4,0,1
211.762,63.41138888,42.08555556,COMM VITALITY / 1100WALNUT1,1500 Pearl St,80302,19,14,5,1,1
94.424,33.08555555,21.00027778,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,15,15,6,1,1
93.339,60.28833334,19.28166667,BOULDER / FACILITIES ST1,1100 Walnut,80302,8,10,0,0,1
100.696,61.30888889,22.96888889,BOULDER / FACILITIES ST1,1745 14th street,80302,8,16,1,0,1
118.075,59.69861111,23.43027778,BOULDER / ATRIUM ST1,1100 Walnut,80302,8,8,2,0,1
94.8,54.93305556,20.62444444,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,11,11,3,0,1
123.814,122.7597222,25.98111111,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,12,13,4,0,1
106.345,27.27722222,21.995,BOULDER / ATRIUM ST1,1770 13th St,80302,12,14,5,1,1
73.921,14.15722222,14.08361111,BOULDER / BASELINE ST1,900 Baseline Rd,80302,8,12,6,1,1
56.513,36.66694445,15.47583333,BOULDER / BASELINE ST1,2052 Junction Pl,80302,7,9,0,0,1
84.891,40.62777778,17.87888889,COMM VITALITY / BOULDER JCTN,2052 Junction Pl,80302,7,9,1,0,1
82.582,65.9738889,21.49388889,BOULDER / BASELINE ST1,1100 Walnut,80302,12,9,2,0,1
110.691,53.93027778,24.82444445,BOULDER / FACILITIES ST1,1100 Walnut,80302,12,7,3,0,1
200.485,117.2877778,38.675,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,7,18,4,0,1
145.247,37.26083333,31.59805555,BOULDER / BASELINE ST1,900 Baseline Rd,80302,12,13,5,1,1
90.073,22.28388889,17.53777778,BOULDER / BASELINE ST1,1100 Spruce St,80302,12,15,6,1,1
102.739,47.19111111,22.87472222,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,7,10,0,0,1
127.434,86.38166666,23.90722222,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,9,9,1,0,1
100.454,66.29388889,24.08222222,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,7,10,2,0,1
112.05,118.0836111,24.63666667,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,12,13,3,0,1
184.589,44.275,38.49861111,COMM VITALITY / BOULDER JCTN,2052 Junction Pl,80302,10,10,4,0,1
117.311,34.19333334,26.47138889,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,12,12,5,1,1
134.29,31.58222222,25.68222222,BOULDER / BASELINE ST1,1100 Walnut,80302,8,13,6,1,1
145.261,53.21361112,32.02111111,BOULDER / FACILITIES ST1,1745 14th street,80302,13,14,0,0,1
72.889,42.28138889,16.78,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,15,11,1,0,1
101.827,58.04805556,24.57388889,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,8,17,2,0,1
85.825,43.28722222,20.885,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,8,14,3,0,1
167.084,36.26916667,33.71166667,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,11,11,4,0,1
154.791,37.25972222,29.79361111,BOULDER / ATRIUM ST1,1770 13th St,80302,10,14,5,1,1
170.949,47.64055556,37.18,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,11,14,6,1,1
86.11,50.21833334,20.27888889,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,17,12,0,0,1
125.498,51.3825,26.35222222,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,7,7,1,0,1
179.488,60.89583333,37.90361111,BOULDER / ATRIUM ST1,1745 14th street,80302,9,10,2,0,1
157.408,83.425,36.84222222,BOULDER / FACILITIES ST1,1745 14th street,80302,11,18,3,0,1
112.831,105.75,26.99888889,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,14,14,4,0,1
140.824,32.22194444,28.30638889,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,11,21,5,1,1
74.895,16.09027778,16.02333333,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,12,13,6,1,1
137.935,55.79805555,28.57472222,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,12,14,0,0,1
128.765,61.72638889,29.65416667,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,10,12,1,0,1
148.6,62.2075,32.77222222,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,16,18,2,0,1
228.358,81.43611111,41.90111111,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,17,17,3,0,1
137.22,138.1536111,29.59583334,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,11,16,4,0,1
192.133,47.70666667,40.25916667,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,21,11,5,1,1
188.716,47.91194445,38.59194444,BOULDER / BASELINE ST1,1500 Pearl St,80302,12,13,6,1,1
66.914,20.66833334,17.23722222,BOULDER / BASELINE ST1,900 Baseline Rd,80302,10,13,0,0,1
180.733,65.78611111,34.00111111,COMM VITALITY / BOULDER JCTN,2052 Junction Pl,80302,12,14,1,0,1
155.45,60.16888889,34.37444444,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,13,17,2,0,1
143.799,56.31055555,27.12083333,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,12,13,3,0,1
128.578,106.1927778,31.56055556,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,12,10,4,0,2
142.158,49.8175,32.81555556,COMM VITALITY / 1100WALNUT1,1500 Pearl St,80302,17,19,5,1,2
139.953,29.49638889,25.37138889,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,12,14,6,1,2
122.274,71.50388889,23.40972222,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,13,11,0,0,2
143.179,34.50222222,31.08722222,BOULDER / BASELINE ST1,900 Baseline Rd,80302,12,10,1,0,2
155.301,55.35277778,30.99722222,COMM VITALITY / 1104 SPRUCE1,1100 Spruce St,80302,13,15,2,0,2
111.409,45.87361111,24.39555556,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,17,13,3,0,2
190.504,69.26444444,41.98638889,COMM VITALITY / 1000WALNUT2,900 Walnut St,80302,8,11,4,0,2
147.389,70.21777778,66.23666666,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,11,12,5,1,2
92.608,27.44305556,20.86666667,BOULDER / BASELINE ST1,1360 Gillaspie Dr,80302,15,12,6,1,2
150.136,48.15138888,32.73416667,BOULDER / REC CENTER ST1,1360 Gillaspie Dr,80302,12,15,0,0,2
121.868,56.9325,25.76194444,BOULDER / ATRIUM ST1,1100 Walnut,80302,17,11,1,0,2
187.467,70.98916667,42.0725,BOULDER / ATRIUM ST1,1770 13th St,80302,18,12,2,0,2
123.863,46.99666667,24.41388889,BOULDER / REC CENTER ST2,900 Walnut St,80302,9,16,3,0,2
116.346,93.68222222,25.09666667,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,6,12,4,0,2
116.113,25.6125,23.48416667,BOULDER / ATRIUM ST1,900 Walnut St,80302,12,12,5,1,2
54.924,14.16666667,12.74305556,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,11,13,6,1,2
92.528,46.06333334,22.98861111,BOULDER / REC CENTER ST2,1360 Gillaspie Dr,80302,16,18,0,0,2
187.779,43.5675,38.61916667,COMM VITALITY / 1400 WALNUT1,900 Walnut St,80302,13,14,1,0,2
132.894,39.49722222,28.99777778,BOULDER / ATRIUM ST1,900 Walnut St,80302,17,16,2,0,2
99.181,20.58,19.42666667,COMM VITALITY / 1100WALNUT1,1100 Walnut,80302,8,14,3,0,2
123.327,38.62944444,25.08388889,COMM VITALITY / BOULDER JCTN,2052 Junction Pl,80302,15,12,4,0,2
151.419,41.05666667,33.88361111,BOULDER / ATRIUM ST1,1770 13th St,80302,12,12,5,1,2
108.247,46.64416666,25.40611111,BOULDER / BASELINE ST1,900 Walnut St,80302,15,12,6,1,2
163.558,74.87333334,33.74638889,COMM VITALITY / 1000WALNUT1,900 Walnut St,80302,12,13,0,0,2
125.429,50.27777778,28.54444444,BOULDER / ATRIUM ST1,1100 Walnut,80302,12,11,1,0,2
131.867,45.49305556,28.24222222,BOULDER / FACILITIES ST1,1360 Gillaspie Dr,80302,18,19,2,0,2
