Consum(kWh),Duration_hours,Site,CP ID,Connector Type,Connector,Start_hour,End_hour,Day_of_week,is_weekend,season
3867.416,497.8172222,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,15,16,5,1,0
5720.765,530.0258333,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,11,10,6,1,0
5559.101,457.54,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,12,15,0,0,0
3322.436,371.6572222,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,11,18,0,0,0
3599.81,296.1455556,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,DD2 3BH,16,14,1,0,0
6359.756,427.3055556,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,14,20,2,0,0
5439.351,442.5941667,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,10,11,3,0,0
4493.04,682.6305556,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,16,15,4,0,0
2575.014,171.7977778,Greenmarket 150kW Bus Charger,52667,rapid,DD1 4BX,12,12,0,0,1
5926.468,462.9155556,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,13,2,0,1
5359.631,640.0025,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,13,10,3,0,1
4780.912,613.9844444,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,16,21,4,0,1
3649.145,366.9211111,"Princes Street Charging Hub, Dundee",APT51549,rapid,DD4 6BY,14,11,3,0,1
4513.409,334.0425,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,14,4,0,1
4744.974,445.0969445,"Princes Street Charging Hub, Dundee",APT51422,rapid,DD4 6BY,15,14,5,1,1
4653.102,518.2997222,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,14,15,6,1,1
5041.473,534.5472222,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,13,15,0,0,1
2689.76,380.2919445,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,14,15,5,1,1
4615.665,453.8394445,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,14,14,6,1,1
4866.849,388.6886111,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,10,10,0,0,1
4624.468,699.5344444,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,14,12,1,0,1
5533.02,681.5341667,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,11,12,2,0,1
3984.855,466.6205555,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,13,15,1,0,2
4852.312,406.9111111,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,9,11,3,0,2
4550.084,618.5925,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,14,16,5,1,2
4500.969,386.6155556,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,13,14,3,0,2
3907.025,409.0630555,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,13,14,4,0,2
5347.307,614.9244444,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,9,15,6,1,2
4942.712,633.7855555,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,14,0,0,2
0.509,0.147222222,Michelin Scotland Innovation Park ,53982,ac,DD4 8UQ,23,23,0,0,2
2760.405,337.7475,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,DD2 3BH,13,15,1,0,2
1546.422,219.2663889,"Lochee Charging Hub, Aimer Square, Dundee",51586,rapid,DD2 3BH,14,14,2,0,2
3679.833,478.1130555,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,DD2 3BH,13,11,3,0,2
3465.485,246.7563889,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,20,13,5,1,2
4008.088,401.3152778,"Princes Street Charging Hub, Dundee",APT51597,rapid,DD4 6BY,18,18,0,0,2
4279.288,334.0638889,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,14,16,1,0,2
4826.209,658.9358333,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,11,2,0,2
4180.265,573.6088889,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,11,11,3,0,2
4337.621,375.1586111,"Lochee Charging Hub, Aimer Square, Dundee",51421,rapid,DD2 3BH,21,12,4,0,2
4722.404,369.8272222,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,11,15,5,1,2
4466.81,454.0183333,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,15,15,6,1,2
3418.329,411.1266667,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,14,15,0,0,2
3990.269,467.6361111,"Lochee Charging Hub, Aimer Square, Dundee",52667,rapid,DD2 3BH,14,15,1,0,2
3275.223,400.7505556,"Princes Street Charging Hub, Dundee",APT51422,rapid,DD4 6BY,13,13,2,0,2
1906.689,240.96,"Queen Street Charging Hub, Dundee",APT51597,ac,DD5 2HD,14,14,3,0,2
4299.323,407.2875,"Princes Street Charging Hub, Dundee",APT51422,rapid,DD4 6BY,16,12,4,0,2
4518.04,309.9455555,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,18,11,5,1,2
3954.435,354.0530556,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,12,1,6,1,2
3312.601,491.6638889,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,14,15,0,0,2
3670.989,461.8425,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,DD2 3BH,11,11,2,0,2
4057.549,485.8497222,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,DD2 3BH,16,17,3,0,2
4038.069,432.6275,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,12,13,4,0,2
4588.928,395.1547222,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,18,12,5,1,2
4714.108,487.2819445,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,14,6,1,2
3419.435,511.7341666,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,14,0,0,2
3603.688,410.4872222,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,13,13,2,0,3
4066.657,434.5908333,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,14,15,3,0,3
5109.537,327.6402778,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,14,14,4,0,3
4661.978,638.8102778,"Lochee Charging Hub, Aimer Square, Dundee",51424,rapid,DD2 3BH,11,12,5,1,3
4456.772,639.5788889,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,14,11,6,1,3
4024.139,474.7733334,"Lochee Charging Hub, Aimer Square, Dundee",51585,rapid,DD2 3BH,12,13,0,0,3
3820.563,367.9483333,"Lochee Charging Hub, Aimer Square, Dundee",53318,rapid,DD2 3BH,10,10,3,0,3
3553.76,403.8519444,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,16,13,4,0,3
3439.723,286.9016667,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,20,21,5,1,3
2607.351,285.5866667,"Lochee Charging Hub, Aimer Square, Dundee",APT51547,rapid,DD2 3BH,14,15,6,1,3
2465.841,331.5036111,"Princes Street Charging Hub, Dundee",APT51547,rapid,DD4 6BY,11,11,0,0,3
8365.581,76.38555556,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,7,16,1,0,3
2769.649,294.0938889,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,15,16,2,0,3
4889.48,437.6619445,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,13,15,3,0,3
4721.345,447.9419444,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,13,11,4,0,3
5547.164,415.6055556,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,14,15,5,1,3
5043.601,438.0286111,"Princes Street Charging Hub, Dundee",APT51422,rapid,DD4 6BY,10,13,6,1,3
5101.515,497.1669444,"Princes Street Charging Hub, Dundee",APT51549,rapid,DD4 6BY,14,16,2,0,3
2584.219,382.8663889,"Lochee Charging Hub, Aimer Square, Dundee",APT51549,rapid,DD2 3BH,13,13,4,0,3
4375.722,392.1877778,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,10,13,5,1,3
5079.249,431.3286111,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,14,15,6,1,3
4997.708,615.8591667,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,12,16,0,0,3
5179.389,621.3169445,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,13,1,0,3
4672.916,460.1322222,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,16,15,2,0,3
4867.365,481.7638889,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,11,15,3,0,3
7646.878,476.9072222,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,15,16,4,0,3
4505.543,335.8938889,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,14,16,5,1,3
5273.873,391.5872222,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,12,16,6,1,3
4265.217,385.7311111,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,11,11,0,0,3
4093.322,450.0894444,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,16,15,2,0,3
4814.496,566.7597222,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,11,15,3,0,3
5270.27,480.8711111,"Princes Street Charging Hub, Dundee",APT51549,rapid,DD4 6BY,16,12,4,0,3
6029.705,463.3941667,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,11,14,5,1,3
4834.264,395.3963889,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,12,12,6,1,3
4692.226,276.4144445,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,12,12,1,0,3
4836.229,458.6266667,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,12,15,2,0,3
5742.541,491.8669445,"Princes Street Charging Hub, Dundee",APT51549,rapid,DD4 6BY,10,12,4,0,3
6568.843,414.2427778,"Princes Street Charging Hub, Dundee",51585,rapid,DD4 6BY,11,12,5,1,3
5347.914,387.7586111,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,1,1,6,1,3
4939.459,364.2936111,"Princes Street Charging Hub, Dundee",51421,rapid,DD4 6BY,13,17,1,0,3
5247.987,648.8338889,"Lochee Charging Hub, Aimer Square, Dundee",51584,rapid,DD2 3BH,12,14,3,0,3
5130.685,516.7027778,"Princes Street Charging Hub, Dundee",APT51422,rapid,DD4 6BY,14,15,4,0,3
5210.457,528.6286111,"Princes Street Charging Hub, Dundee",APT51549,rapid,DD4 6BY,10,16,6,1,3
4671.076,369.2577778,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,12,13,0,0,3
4717.951,573.8005556,"Princes Street Charging Hub, Dundee",51424,rapid,DD4 6BY,16,14,1,0,3
5376.566,573.32,"Princes Street Charging Hub, Dundee",APT51423,rapid,DD4 6BY,17,17,2,0,3
