Total Duration (hours),Charging Time (hours),Energy (kWh),GHG Savings (kg),Gasoline Savings (gallons),Station Name,MAC Address,Port Type,Port Number,Plug Type,Address 1,Postal Code,Latitude,Longitude,Fee,Ended By,start_hour,end_hour,day_of_week,is_weekend,season
3.058888889,1.900833333,6.249457,2.625,0.784,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,0,Plug Out at Vehicle,20,23,4,0,2
7.573888889,7.103888889,24.175773,10.154,3.034,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,0,Customer,0,0,5,1,2
15.97,12.31388889,42.012043,17.645,5.273,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,0,Customer,4,1,6,1,2
3.392777778,1.585555556,5.041244,2.117,0.633,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,0,Plug Out at Vehicle,19,22,0,0,2
4.671944444,4.666388889,16.210423,6.809,2.034,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,0,Plug Out at Vehicle,12,13,1,0,2
7.282222222,7.195277778,22.812381,9.581,2.863,PALO ALTO CA / HAMILTON #1,000D:6F00:015A:9D76,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,0,Customer,5,10,2,0,2
18.80527778,11.74444444,33.802186,14.197,4.241,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,0,Plug Out at Vehicle,20,8,3,0,2
9.879166667,9.558333333,31.489418,13.226,3.952,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,0,Customer,19,9,4,0,2
25.13666667,18.84583333,69.274091,29.095,8.692,PALO ALTO CA / HAMILTON #2,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444607,-122.160263,0,Customer,0,9,5,1,2
21.8625,4.215833333,13.397159,5.627,1.681,PALO ALTO CA / HAMILTON #1,000D:6F00:009E:D39E,Level 2,2,J1772,250 Hamilton Ave,94301,37.444572,-122.160309,0,Customer,0,10,6,1,2
