Total kWh,Total_time_hours,CP ID,Connector,Site,Model,Start_hour,End_hour,Day_of_week,is_weekend,season
252.141,31.45,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,15,5,1,0
374.412,21.91666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,6,1,0
329.779,28.41666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,9,16,0,0,0
351.102,38.38333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,15,16,1,0,0
167.683,14.33333333,50745,1,Broxden Park & Ride,APT Triple Rapid Charger,1,1,1,0,0
304.239,28.96666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,2,0,0
367.123,69.11666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,8,16,3,0,0
328.707,48.05,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,7,17,4,0,0
318.774,24.01666667,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,19,14,2,0,1
307.546,32.81666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,10,14,3,0,1
318.207,33.38333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,11,4,0,1
293.442,26.08333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,15,16,5,1,1
167.4,26.08333334,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,14,14,5,1,1
180.844,22.15,50575,2,South Inch Car Park,APT Triple Rapid Charger,17,13,6,1,1
370.458,38.01666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,8,8,0,0,1
332.628,41.46666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,17,1,0,1
335.892,39.88333334,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,9,17,0,0,1
310.133,33.13333333,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,18,18,1,0,1
367.113,34.95,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,10,10,2,0,1
360.86,56.76666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,8,13,3,0,1
259.087,34.15,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,15,20,3,0,2
255.547,42.35,51250,1,Broxden Park & Ride,APT Triple Rapid Charger,19,15,4,0,2
302.673,19.11666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,11,5,1,2
345.447,57.35,50275,2,Broxden Park & Ride,APT Triple Rapid Charger,8,9,6,1,2
216.363,29.8,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,9,9,5,1,2
380.686,38.95,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,17,6,1,2
278.193,30.5,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,11,13,0,0,2
360.854,31.28333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,10,16,1,0,2
179.197,22.4,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,18,19,1,0,2
340.249,24.45,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,12,2,0,2
287.574,37.71666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,12,13,3,0,2
250.668,38.73333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,20,4,0,2
131.992,12.45,50245,2,Broxden Park & Ride,APT Triple Rapid Charger,8,8,4,0,3
373.489,31.31666666,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,18,18,5,1,3
358.433,44.7,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,19,6,1,3
290.428,31.26666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,12,0,0,3
271.221,26.41666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,1,0,3
298.641,44.08333333,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,8,14,2,0,3
144.656,16.4,50745,2,Kinross Park and Ride,APT Triple Rapid Charger,10,11,3,0,3
175.812,18.18333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,13,4,0,3
201.91,18.85,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,15,5,1,3
282.716,24.43333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,14,14,6,1,3
290.146,46.68333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,13,12,0,0,3
170.391,31.05,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,7,9,1,0,3
338.151,33.53333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,16,17,2,0,3
207.47,32.53333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,18,9,3,0,3
390.464,31.68333334,51250,2,"Crown Inn Wynd Car Park, Auchterarder",APT Triple Rapid Charger,14,14,4,0,3
291.028,31.85,50276,2,South Inch Car Park,APT Triple Rapid Charger,12,15,5,1,3
321.002,28.16666667,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,19,14,6,1,3
405.511,46.4,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,7,16,0,0,3
343.773,42.48333333,50275,2,Broxden Park & Ride,APT Triple Rapid Charger,14,14,1,0,3
328.612,35.4,50575,2,Broxden Park & Ride,APT Triple Rapid Charger,11,14,2,0,3
271.345,20.5,50275,2,Friarton Depot,APT Triple Rapid Charger,13,13,3,0,3
314.641,30.75,51250,2,South Inch Car Park,APT Triple Rapid Charger,10,15,4,0,3
305.979,24.66666667,50575,2,South Inch Car Park,APT Triple Rapid Charger,13,14,6,1,3
375.478,51.63333333,50282,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,0,0,3
300.587,53.46666667,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,8,11,1,0,3
278.44,28.16666667,50245,2,South Inch Car Park,APT Triple Rapid Charger,11,12,2,0,3
273.497,47.33333334,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,12,12,3,0,3
351.165,44.63333333,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,16,19,4,0,3
330.924,24.78333333,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,11,11,5,1,3
281.301,36.90000001,50745,2,Broxden Park & Ride,APT Triple Rapid Charger,10,10,6,1,3
288.126,47.15,50286,2,Broxden Park & Ride,APT Triple Rapid Charger,18,19,0,0,3
324.237,21.43333333,50745,2,South Inch Car Park,APT Triple Rapid Charger,11,16,1,0,3
295.814,19.4,50282,2,Broxden Park & Ride,APT Triple Rapid Charger,12,15,2,0,3
